,PRISM.7122,PRISM.7147,PRISM.7150,PRISM.7153,PRISM.7184,PRISM.7238,PRISM.7406,PRISM.7408,PRISM.7421,PRISM.7445,PRISM.7486,PRISM.7496,PRISM.7506,PRISM.7547,PRISM.7658,PRISM.7662,PRISM.7744,PRISM.7759,PRISM.7762,PRISM.7776,PRISM.7791,PRISM.7843,PRISM.7847,PRISM.7852,PRISM.7855,PRISM.7858,PRISM.7860,PRISM.7861,PRISM.7862,PRISM.7870,PRISM.7874,PRISM.7875,PRISM.7879,PRISM.7897,PRISM.7899,PRISM.7904,PRISM.7906,PRISM.7908,PRISM.7909,PRISM.7910,PRISM.7911,PRISM.7912,PRISM.7938,PRISM.7941,PRISM.7947,PRISM.7948,PRISM.7955,PRISM.7971,PRISM.7989,PRISM.8095,PRISM.8096,PRISM.8101,PRISM.8106,PRISM.8129,PRISM.8226,PRISM.8244,PRISM.8264,PRISM.8275,PRISM.8283,PRISM.8332,PRISM.8336,PRISM.8361,PRISM.8374,PRISM.8377,PRISM.8406,PRISM.8441,PRISM.8444,PRISM.8447,PRISM.8452,PRISM.8458,PRISM.8462,PRISM.8464,PRISM.8466,PRISM.8467,PRISM.8475,PRISM.8480,PRISM.8483,PRISM.8485,PRISM.8496,PRISM.8502,PRISM.8503,PRISM.8511,PRISM.8513,PRISM.8515,PRISM.8523,PRISM.8534,PRISM.8537,PRISM.8550,PRISM.8564,PRISM.8565,PRISM.8573,PRISM.8577,PRISM.8589,PRISM.8591,PRISM.8592,PRISM.8605,PRISM.8624,PRISM.8628,PRISM.8629,PRISM.8667,PRISM.8675,PRISM.8683,PRISM.8692,PRISM.8696,PRISM.8728,PRISM.8734,PRISM.8735,PRISM.8746,PRISM.8749,PRISM.8753,PRISM.8754,PRISM.8758,PRISM.8764,PRISM.8765,PRISM.8774,PRISM.8776,PRISM.8778,PRISM.8783,PRISM.8784,PRISM.8785,PRISM.8788,PRISM.8789,PRISM.8794,PRISM.8795,PRISM.8800,PRISM.8802,PRISM.8803,PRISM.8805,PRISM.8806,PRISM.8807,PRISM.8809,PRISM.8815,PRISM.8841,PRISM.8843,PRISM.8844,PRISM.8846,PRISM.8847,PRISM.8849,PRISM.8878,PRISM.8882,PRISM.8892,PRISM.8894,PRISM.8898,PRISM.8924,PRISM.8932,PRISM.8982,PRISM.8998,PRISM.9010,PRISM.9018,PRISM.9030,PRISM.9033,PRISM.9074,PRISM.9079,PRISM.9126,PRISM.9148
g__GCA,5.51e-05,9.27e-05,0.000843476,6.57e-05,5.54e-05,1.29e-05,1.34e-06,2.7e-05,3.87e-05,3.14e-05,0.00019637,4.01e-05,8.5e-05,0.000272334,0.000110811,9.76e-05,0.00028558,2.42e-05,9.98e-05,4.11e-05,0.000741655,7.16e-06,8e-05,9.11e-05,0.000285405,0.000161331,0.000269965,0.000348437,0.000217379,0.000276966,0.00010726,3.76e-05,0.000110022,3.5e-05,7.93e-05,0.000350318,5.02e-05,6.65e-05,0.000132057,0.000153254,0.000140505,0.000151324,9.88e-05,9.54e-05,0.00012767,8.12e-05,0.000105499,0.0,3.15e-06,1.76e-06,3.59e-05,0.000231334,7.08e-05,5.59e-05,5.59e-05,0.000199205,3.81e-06,3.03e-05,0.00010884,9.79e-05,1.4e-06,4.54e-05,0.000538104,0.000144576,4.07e-05,6.03e-05,8.22e-05,7.23e-05,5.12e-05,0.000751927,5.95e-05,0.00011818,3.13e-05,0.000392338,1.9e-05,0.0,0.000183578,3.22e-05,3.67e-05,0.0,0.000141575,0.000122048,0.000399157,0.000164934,5.73e-05,2.59e-06,0.000115363,0.000138954,6.8e-05,5.79e-06,6.37e-05,6e-05,0.000155639,2.59e-05,2.88e-05,0.000194611,0.000790984,0.000149021,0.0,7.06e-05,0.00016333,0.000128104,9.45e-05,2.45e-05,0.000340372,3.63e-05,7.91e-05,5.19e-07,3.58e-05,8.94e-06,0.000106464,1.42e-05,3.38e-05,6.98e-05,0.000344051,2.5e-05,0.000126614,0.000528704,0.000166531,0.00018184,6.04e-05,7.18e-05,2.68e-05,2.86e-05,9.03e-05,0.000159675,0.000745634,9.68e-05,3.24e-07,0.000116845,8.46e-06,0.000174166,2.74e-05,5.13e-05,4.71e-07,3.13e-05,0.000282138,3.22e-06,9.08e-05,7.25e-05,4.65e-06,0.000141176,6.72e-05,0.000258345,1.61e-06,8.73e-05,2.12e-05,0.000128839,9.14e-05,6.91e-05,6.09e-05,7.16e-05,1.48e-05,0.000108122,6.94e-05
g__Monoglobus,1.14e-05,0.005991776,0.000366331,3.85e-05,0.02518288,5.08e-06,3e-06,8.41e-06,0.003654304,9.23e-06,0.000214984,1.07e-05,0.004216766,0.014829901,2.52e-05,0.001637562,2.45e-05,6.47e-06,6.38e-06,0.000182865,0.000688634,5.92e-06,2.32e-05,0.000975517,0.002415089,2.45e-05,5.13e-06,3.32e-05,0.001108625,1.13e-05,0.00773872,8.9e-05,1.61e-05,0.0001035,0.001777352,0.004735569,2.33e-05,4.04e-05,0.001272574,2.71e-05,0.027692532,0.00278145,7.29e-06,1.4e-05,4.53e-06,0.000237199,2.14e-05,3.69e-06,9.04e-06,4.18e-06,5.02e-06,0.004393614,7.53e-06,3.27e-06,1.3e-05,0.002478007,3.88e-05,2.25e-05,0.001592979,0.002038073,1.68e-05,5.04e-06,5.63e-06,0.005070323,0.019828135,1.48e-05,0.002726145,0.001381233,0.000607324,0.003789894,0.000176816,1.23e-06,5.98e-06,0.000547833,8.65e-06,0.000379255,5.58e-06,3.81e-06,0.005318407,8.88e-05,0.004510953,2.59e-05,0.006963897,6.65e-05,2.41e-05,2.59e-06,5.76e-06,1.14e-05,1.3e-05,1.37e-05,9.61e-06,0.005670394,2.99e-05,1.01e-05,6.49e-06,9.09e-06,1.07e-05,0.002713569,1.08e-05,8.2e-06,7.9e-06,7.87e-06,0.001061071,7.62e-06,0.000568806,9.38e-06,1.93e-05,2.82e-06,4.25e-06,4.18e-06,3.58e-05,3.79e-06,4.86e-05,1.6e-05,2.5e-05,1.68e-05,2.97e-05,8.41e-06,0.001825334,0.000270384,6.7e-06,7.63e-06,1.15e-05,1.15e-05,4e-05,0.000107767,8.61e-06,1.12e-05,2.49e-06,8.63e-06,3.8e-06,3.06e-06,5.43e-06,5.79e-06,1.99e-06,4.08e-06,9.48e-06,9.39e-06,3.27e-06,4.17e-05,1.79e-06,0.001475808,7.15e-06,0.000293206,8.55e-06,0.005464073,0.000168117,0.00387438,1.94e-05,1.78e-06,2.87e-05,8.65e-06,0.001602628,0.00140443,9.49e-06
g__Sutterella,2.05e-05,6.32e-05,6.44e-05,3.04e-05,0.000888568,2.84e-05,4.93e-05,2.45e-05,2.99e-05,6.91e-05,0.017842479,6.73e-05,3.28e-05,5.89e-05,2.75e-05,0.0010628,2.93e-05,0.000115184,6.63e-05,0.000599768,1.73e-05,0.000135836,5.33e-05,0.001050114,5.97e-05,0.000110926,2.51e-05,1.63e-05,8.37e-05,4.47e-05,0.000168453,0.000364698,6.27e-05,5.49e-05,5.54e-05,5.69e-05,5.61e-05,0.00227548,0.000783063,0.000572987,8.33e-05,5.19e-05,0.005464461,1.01e-05,0.000297399,3.55e-05,4.2e-05,4.15e-06,4.07e-05,8.72e-05,0.017731435,0.000135968,0.000108035,1.03e-05,0.006178914,0.000156804,0.024133663,7.83e-05,7.57e-05,3.41e-05,5.19e-06,5.05e-05,2.47e-05,0.000744755,2.63e-05,0.000104292,7.21e-05,0.000112505,0.000339029,9.29e-05,0.000960059,2.82e-05,5.14e-05,8.63e-05,3.82e-05,0.004794466,1.7e-05,0.003230688,1.14e-05,0.000309339,6.18e-05,0.000300158,2.9e-05,4.76e-05,0.00010162,2.54e-06,6.74e-06,1.26e-05,3.86e-05,2.9e-05,6.83e-05,0.001221256,0.000721557,1.77e-05,2.14e-05,9.92e-05,0.000827645,6.74e-05,6.51e-06,2.87e-05,5.88e-05,2.91e-05,5.17e-05,1.57e-05,0.001528393,0.003628632,0.025911452,9.18e-06,0.009587211,0.020820138,0.006387452,3.24e-05,3.84e-05,0.000515279,2.78e-05,0.008601019,0.001703708,0.00036453,3.52e-05,6.27e-05,2.22e-05,0.001360541,7.07e-05,1.63e-05,0.009599459,4.75e-05,3.44e-05,5.46e-05,2.33e-05,0.000483717,0.000182207,0.000120379,5.78e-05,4.12e-05,2.09e-05,7.94e-05,2.76e-05,1.16e-05,3.99e-05,0.000323606,0.000506132,0.000117774,4.62e-05,0.005651996,4.45e-06,3.6e-05,0.029427869,0.00021545,4.85e-05,0.014740392,0.000258821,4.62e-05,2.5e-05,4.23e-05,0.002352394
g__CAG.1,8.35e-06,7.75e-05,1.54e-05,3.88e-05,3.87e-05,2.34e-06,1.02e-05,6.21e-06,7.65e-06,1.03e-05,1.12e-05,2.69e-05,2.44e-05,1.74e-05,2.09e-05,0.003325957,8.33e-05,6.61e-06,1.05e-05,1.94e-05,2.7e-05,8.53e-06,1.71e-05,6.11e-05,6.21e-05,1.83e-05,1.38e-05,2.23e-05,2.73e-05,0.000104091,4.9e-05,1.98e-05,0.003139633,1.04e-05,2.85e-05,2.56e-05,2.63e-05,1.09e-05,0.000112953,0.006530458,2.75e-05,9.91e-05,5.08e-06,1.13e-05,2.91e-06,1.47e-05,0.001690631,6.55e-06,2.16e-06,1.99e-06,1.5e-05,4.37e-05,1.84e-05,1.45e-05,2.52e-06,3.61e-05,7.14e-06,1.75e-05,5.03e-05,3.77e-05,1e-06,9.31e-06,8.92e-06,1.96e-05,8.09e-06,0.00287967,5.47e-05,4.95e-05,0.0,2.03e-05,1.6e-05,1.14e-05,8.73e-06,4.02e-05,1.07e-05,6.23e-05,6.97e-06,4.23e-06,1.3e-05,4.01e-05,3.83e-05,2.56e-05,6.57e-05,2.35e-05,1.53e-05,2.85e-06,5.97e-06,7.06e-06,1.61e-05,1.26e-05,1.59e-05,4.06e-05,6.02e-05,1.55e-05,1.04e-05,2.77e-05,3.36e-05,0.009622232,5.14e-06,1.08e-05,1.37e-05,5.08e-06,4.85e-05,0.000102735,0.000140577,1.12e-05,1.91e-05,2.81e-06,4.57e-06,3.3e-06,0.005350851,2.55e-06,0.013087462,0.000723809,3.39e-05,0.004474598,0.011544116,5.21e-05,3.16e-05,1.69e-05,0.000262033,3.22e-05,1.17e-05,1.17e-05,8.33e-06,0.012210019,2.87e-05,1.1e-05,6.99e-06,3.94e-06,7.09e-06,9.95e-06,4.37e-06,5.21e-06,5.37e-06,1.48e-05,8.61e-06,4.7e-06,1.56e-05,4.57e-05,4.1e-06,4.79e-05,1.72e-05,0.00686126,4.41e-06,0.044296921,1.2e-05,6.58e-05,1.56e-05,4.76e-06,0.076353837,8.11e-05,9.57e-06,1.81e-05,1.25e-05
g__Marvinbryantia,0.000190173,0.00030163,9.13e-05,0.000498603,0.000219571,0.000116222,4.33e-05,0.000101561,0.000238449,0.000286411,0.0002618,0.000425495,0.000147942,0.000180165,0.000485568,0.000816733,0.000298209,0.000972192,0.000279052,0.000341459,0.000556018,0.000114894,0.000265616,0.000178696,0.000490784,0.000231475,0.000201794,0.000333056,0.000370421,0.000515628,0.001288211,0.000474403,0.000334772,0.000355864,0.000455017,0.000525573,0.000489815,0.000590166,0.000275613,0.000765195,0.000490952,0.001114101,0.000171663,0.000295325,5.05e-05,0.000307104,0.000528995,1.46e-05,7.08e-05,8.05e-06,0.000280547,0.000139194,0.000555536,0.000437768,8.46e-05,0.000378899,1.15e-05,0.000238205,0.000212024,0.000279554,4.8e-07,0.000583747,0.000126653,0.000425617,0.000344136,0.001408828,0.000263409,0.000478322,6.59e-05,0.000679252,0.000314634,0.000435641,0.000100445,0.000263041,0.00012432,0.000118871,0.000299112,3.63e-05,0.000484109,0.0,0.000332515,0.000613018,0.000427534,7.3e-05,0.00011601,2.84e-05,0.000131684,0.000107925,0.00036653,1.96e-05,0.000324071,0.000418486,0.000721853,0.000903882,0.000645308,0.000547472,0.000353171,0.000488383,3.2e-06,4.02e-05,0.000617965,0.000345472,0.000330221,0.000263295,0.000209809,0.000126867,0.000290072,7.16e-07,4.02e-05,0.000105444,0.000621289,5.27e-05,0.000392528,0.000659428,0.000344039,0.000392553,0.000153021,0.000212787,0.00029774,0.000105051,0.000413588,0.000127587,0.000235743,0.000213248,0.000360139,0.000120128,0.000148703,0.000750028,2.13e-06,0.000456125,5.58e-05,0.000147484,0.000195172,0.000106833,4.71e-06,0.000167955,0.000145819,3.32e-05,0.00018218,0.000174218,0.000376899,0.000297345,8.22e-05,0.001178661,0.000164566,0.000233936,0.000149631,0.000228144,0.00059065,9e-05,9.99e-05,0.000185207,0.000143915,0.00030168,0.000210036
g__1XD42,0.00020248,0.000297627,3.08e-05,0.000336128,0.000216184,3.96e-05,0.000153117,5.87e-05,0.000256751,0.000236414,0.000271066,0.0001142,0.000235263,5.57e-05,0.007312402,0.000237595,0.001040334,0.000606798,0.000219327,0.000105513,0.000271082,3.67e-05,0.001941391,0.000307091,0.000242675,0.000270706,0.000141826,0.000318672,0.001149132,0.000235922,0.000198922,0.001120778,0.000586869,0.000280864,0.000153422,0.000196699,0.000585832,0.000332701,0.000134204,0.000459577,0.000298004,0.000888049,0.000128232,9.5e-05,1.75e-05,0.000248702,0.000533018,1.17e-06,3.43e-05,2.81e-06,0.000221567,4.15e-05,0.000210447,0.000251894,1.95e-05,0.000111014,1.19e-05,0.000100776,0.000102195,0.000396946,5.28e-06,0.000271204,4e-05,0.000104058,0.000294235,0.000102575,0.000127698,0.000165812,0.000117075,0.000100898,0.000151074,0.000257138,0.000116597,0.000505782,0.000221975,0.0,6.48e-05,2.68e-05,0.000198736,0.0,0.000243236,0.000207509,0.001672182,3.85e-05,6e-05,2.02e-05,5.07e-05,4.87e-05,0.000304484,1.66e-05,0.000211103,0.000203429,0.000538045,0.000117033,0.000190577,0.000220641,0.000129979,0.000110505,3.94e-06,1.59e-05,0.000203785,0.000682898,0.000224765,0.000302985,0.00011459,0.00019259,0.000360381,1.07e-06,1.71e-05,5.45e-05,0.00067507,3.83e-05,0.000166508,0.000149325,0.001728861,0.000361924,5.78e-05,6.23e-05,0.000151191,8.75e-05,0.000622055,9.89e-05,0.000348025,0.000127744,0.000282618,0.000145019,7.9e-05,0.000264853,1.85e-06,0.000394613,1.64e-05,9.65e-05,6.54e-05,3.33e-05,8.34e-07,0.000152907,4.83e-05,0.000146012,5.63e-05,0.00018343,6.75e-05,0.000108176,2.95e-05,5.21e-05,6.87e-05,6.2e-05,0.000158905,0.000127485,0.000485134,3.2e-05,0.000146244,0.000160019,0.000115535,0.000246882,0.000113746
g__Zag111,0.00011359,6.4e-05,0.000156499,1.74e-05,0.000304359,9.85e-05,1.8e-06,0.000148951,0.000149373,2.77e-05,0.000559532,0.000121145,0.000482538,0.00042171,0.000175348,0.000115911,3.91e-05,4.22e-05,0.000100729,0.000297597,4.1e-05,2.24e-05,3.05e-05,0.000138961,0.000172968,5.09e-05,0.000168542,7.56e-05,0.000213579,0.000232742,0.000219465,6.52e-05,0.000190941,8.96e-05,0.000399331,0.000257938,0.000159382,0.000136184,7.71e-05,0.000261545,2.56e-05,8.95e-05,7.72e-06,6.53e-05,5.49e-05,9.01e-05,0.000247207,5.5e-06,3.46e-05,0.000255929,8.47e-05,0.000115706,4.85e-05,0.000257246,0.00010252,1.44e-05,5.59e-06,4.7e-05,0.000158993,0.000120785,2.01e-06,1.06e-05,1.85e-05,6.39e-05,4.97e-05,0.000384889,8.42e-05,0.000167401,3.41e-05,6.84e-06,0.000261791,8.08e-06,0.000335254,0.000240469,0.000435345,0.0,0.000269818,1.4e-05,4.19e-05,0.0,0.000169436,5.24e-05,0.000170888,4.1e-05,5.22e-05,2.59e-06,3.26e-05,2.99e-06,2.75e-05,0.00045168,0.00078972,0.000119664,0.000162385,5.77e-05,0.000422976,7.52e-05,0.00067021,9.45e-05,2.91e-06,2.91e-05,6.65e-05,7.15e-06,0.000239052,0.000229276,5.37e-05,0.000516572,0.000128597,5.33e-07,6.69e-05,0.000182868,0.000216443,2.13e-06,8.5e-05,0.006629382,0.000302616,0.000211688,0.000160166,0.000227698,0.00011949,0.000166291,5.38e-05,8.99e-05,0.000287074,0.000197759,4.27e-05,0.000315305,0.000315513,4.11e-05,1.07e-06,3.55e-06,3.44e-06,2.01e-06,0.000103291,6.37e-05,4.2e-05,3.83e-05,0.000475012,7.24e-06,0.000131767,0.000413318,2.59e-05,0.000179655,0.000109386,0.000107187,2.14e-06,9.31e-05,3.8e-05,8.54e-05,0.000185844,1.62e-05,2.82e-05,1.17e-05,6.36e-05,0.000232501,0.000113106
g__CAG.2,0.000138465,0.000103667,2.41e-05,0.000176717,0.000153873,1.89e-05,3.34e-05,6.65e-05,0.000129359,6.52e-05,0.000153358,4.85e-05,0.000102486,6.32e-05,0.000238859,0.00012457,0.00021996,0.000160168,8e-05,0.000124851,0.000335074,3.24e-05,9.11e-05,0.000174417,0.000241375,8.22e-05,9.3e-05,0.000119403,0.000155188,0.000100582,9.53e-05,0.000779801,7.71e-05,9.43e-05,0.000120999,0.00015076,0.000232816,0.000186317,0.000230672,0.003573407,0.000100535,0.000243947,9.37e-05,3.34e-05,7.65e-06,0.000108368,0.001892656,3.1e-06,3.57e-06,4.88e-06,0.000153972,1.86e-05,8.54e-05,0.000160805,3.92e-06,5.45e-05,2e-05,6.99e-05,7.87e-05,0.000136074,6.11e-07,0.000219189,6.84e-05,6.38e-05,0.000125394,0.000116437,8.1e-05,0.000180039,3.9e-05,6.62e-05,8.89e-05,9.5e-05,9.57e-05,0.000219974,0.000158789,0.0,4.28e-05,7.14e-06,0.000149999,0.0,0.00032038,7.53e-05,0.000152611,4.25e-05,3.48e-05,1.03e-05,1.13e-05,3.8e-06,0.000497542,4.87e-05,6.32e-05,0.000181279,9.36e-05,0.000112453,0.000208783,0.000133872,7.43e-05,0.000103492,9.7e-07,5.39e-06,0.000102755,0.000345758,0.000109639,0.000154365,5.15e-05,6.05e-05,0.000248769,4.35e-07,3.19e-06,4.54e-05,0.000125656,5.42e-07,9.33e-05,0.00177826,0.000189064,0.002756128,6.59e-05,6.73e-05,0.000116889,5.42e-05,0.000241965,0.000224781,0.000267082,8.78e-05,0.000112896,6.68e-05,4.15e-05,0.000396063,1.04e-05,7.34e-05,8.1e-06,4.16e-05,2.95e-05,6.64e-05,5.44e-07,0.000142905,1.47e-05,3.54e-05,5.31e-05,9.81e-05,6e-05,4.56e-05,0.000340506,3.15e-05,3.88e-05,5.47e-05,0.000140606,8.45e-05,0.000390066,7.65e-05,4.94e-05,9.38e-05,7.22e-05,0.000161402,0.000183851
g__Emergencia,0.000195956,0.000426088,0.000579489,7.41e-05,9.6e-05,5.86e-05,2.64e-05,3.62e-05,6.68e-05,8.76e-05,7.68e-05,0.000543113,0.000208708,0.000475629,7.41e-05,0.000141375,0.00018711,5.02e-05,7.61e-05,0.000122619,0.00044128,3.03e-05,0.000184466,0.000123372,0.000215422,0.000104335,0.000511986,0.00023743,8.91e-05,0.002025271,0.000706389,0.000246097,0.000120295,3.33e-05,0.000334553,0.00048686,8.48e-05,4.39e-05,0.000357526,0.000204302,7.67e-05,0.000130479,4.17e-05,6.75e-05,2.19e-05,9.85e-05,7.66e-05,0.0,6.09e-05,5.08e-06,9.56e-05,0.001174689,9.76e-05,7.61e-05,3.08e-05,0.000445988,1.72e-05,8.78e-05,0.000781529,0.000252858,0.0,6.89e-05,3.78e-05,0.000598989,6.36e-05,0.000241587,0.000218694,0.000476345,4.15e-05,0.000161383,9.28e-05,6.85e-05,7.45e-05,0.000241919,3.4e-05,0.0,0.000126756,2.51e-05,7.23e-05,0.0,0.000345022,8.6e-05,0.000573714,0.000998452,0.000368177,6.7e-06,7.49e-05,0.00011281,0.000786614,2.71e-05,0.000153208,0.00031588,9.59e-05,8.93e-05,8.81e-05,0.000209485,0.000402793,0.001038822,9.7e-07,0.000790624,9.58e-05,6.74e-05,0.00014958,9.78e-05,0.000293378,6.86e-05,5.28e-05,8e-07,4.1e-05,2.9e-05,0.000152725,8.44e-05,0.000119083,6.58e-05,7.75e-05,4.14e-05,0.000180316,8.82e-05,0.00201662,0.000308024,3.97e-05,0.00012822,8.52e-05,6.39e-05,0.000164276,0.000425028,0.000358735,5.35e-05,3.97e-06,8.69e-05,2.97e-05,0.000157035,5.06e-05,5.26e-05,8.7e-07,7.04e-05,0.000661054,3.26e-05,0.000167672,0.000104932,9.1e-05,0.000679335,3.68e-05,0.000270057,8.76e-06,0.00029071,0.000153677,0.000330918,5.06e-05,5.83e-05,0.00027745,0.000155278,3.31e-05,5.93e-05,3.82e-05
g__Faecousia,0.000185824,0.000919143,0.000283443,0.000182952,0.001509521,0.000155757,4.58e-05,8.69e-05,0.00024636,0.000104145,0.000723127,0.000472932,0.001875627,0.000292906,0.000700829,0.006129754,0.00109988,0.000511055,0.000546574,0.000653317,0.000568207,0.000354159,0.002063004,0.001081143,0.004224278,0.000358404,0.00232769,0.002708113,0.001415244,0.000812184,0.001430013,0.001043688,0.011570018,0.000525242,0.003683626,0.000764154,0.001300416,0.000369306,0.007762368,0.001140447,0.000257355,0.00503171,0.000155988,0.000411576,0.000112792,0.000209149,0.004329729,6.73e-05,6.58e-05,0.000163759,0.000422436,0.001932228,0.000248601,0.000566321,9.65e-05,0.003537327,6.92e-05,0.000143279,0.001186196,0.004785331,4e-05,0.000125335,0.000255468,0.000363437,0.000924676,0.001997613,0.001639986,0.019631936,0.000448786,0.000537057,0.000235461,0.000155214,0.000252837,0.000423708,0.000224626,0.000328311,0.000174557,0.000123521,0.000210189,0.000197634,0.005781618,0.000265586,0.001649432,0.013173886,0.000470904,1.07e-05,9.26e-05,0.000226072,0.000421556,9.21e-05,0.000892996,0.007104245,0.006164163,0.000196088,0.000445981,0.000593749,0.000291223,0.006012151,1.26e-05,0.000431263,0.000617031,0.000310174,0.019149645,0.000439401,0.00330753,0.000365643,0.000391118,5.26e-05,4.96e-05,0.000119137,0.013412149,0.000161576,0.003255152,0.019635741,0.001075991,0.000850913,0.003668637,0.000425977,0.010124887,0.009060767,0.001484853,0.00142794,0.000412122,0.000354079,0.000345289,0.026299034,0.001282177,0.000212881,9.94e-06,0.000192856,1.7e-05,0.000153265,0.000107209,0.000154255,2.57e-05,0.000639474,0.00022623,4.16e-05,0.00073026,0.000531066,0.000444957,0.002863742,0.000342976,0.005722942,5.64e-05,0.035422494,0.00039748,0.017846189,0.00053346,0.000162212,0.002704252,0.029852786,0.000481192,0.000420074,0.00128704
