Compound,HMDB,KEGG,High.Confidence.Annotation,Compound.Name
"Cyclotrisiloxane, hexamethyl-",,,True,"Cyclotrisiloxane, hexamethyl-"
Benzaldehyde,HMDB0006115,C00261,True,Benzaldehyde
"Cyclopentasiloxane, decamethyl-",,,True,"Cyclopentasiloxane, decamethyl-"
Styrene,HMDB0034240,C19506,True,Styrene
Phenol,HMDB0000228,C15584,True,Phenol
n-Pentadecanol,HMDB0013299,,True,n-Pentadecanol
Toluene,HMDB0034168,C01455,True,Toluene
Indole,HMDB0000738,C00463,True,Indole
Carbon dioxide,HMDB0001967,C00011,True,Carbon dioxide
1-Hexadecanol,HMDB0003424,C00823,True,1-Hexadecanol
272_Xylene,,,True,272_Xylene
Methyl Alcohol,HMDB0001875,C00132,True,Methyl Alcohol
p-Cresol,HMDB0001858,C01468,True,p-Cresol
Phenylethyl Alcohol,HMDB0033944,C05853,True,Phenylethyl Alcohol
Ethanol,HMDB0000108,C00469,True,Ethanol
Benzene,HMDB0001505,C01407,True,Benzene
Ethylbenzene,HMDB0059905,C07111,True,Ethylbenzene
Butyric acid,HMDB0000039,C00246,True,Butyric acid
Acetone,HMDB0001659,C00207,True,Acetone
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",HMDB0013835,C15205,True,"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester"
Acetic acid,HMDB0000042,C00033,True,Acetic acid
"Disiloxane, hexamethyl-",HMDB0033532,,True,"Disiloxane, hexamethyl-"
Methyl acetate,HMDB0031523,C17530,True,Methyl acetate
Methyl butyrate,HMDB0033890,,True,Methyl butyrate
309_Xylene,,,True,309_Xylene
Ethyl Acetate,HMDB0031217,C00849,True,Ethyl Acetate
Propionic acid,HMDB0000237,C00163,True,Propionic acid
Hexadecanal,HMDB0001551,C00517,True,Hexadecanal
1-Octen-3-ol,HMDB0031299,C14272,True,1-Octen-3-ol
2-Nonanone,HMDB0031266,,True,2-Nonanone
Sulcatone,HMDB0035915,C07287,True,Sulcatone
269_Xylene,,,True,269_Xylene
2-Octanone,HMDB0031294,,True,2-Octanone
"Propanoic acid, 2-methyl-",HMDB0001873,,True,"Propanoic acid, 2-methyl-"
2-Butanone,HMDB0000474,C02845,True,2-Butanone
Methanethiol,HMDB0003227,C00409,True,Methanethiol
"Indolizine, 3-methyl-",,,True,"Indolizine, 3-methyl-"
Methyl valerate,HMDB0031207,,True,Methyl valerate
"Butanal, 3-methyl-",HMDB0006478,C07329,True,"Butanal, 3-methyl-"
2-Tridecanone,HMDB0034148,,True,2-Tridecanone
1-Propanol,HMDB0000820,C05979,True,1-Propanol
Methyl propionate,HMDB0030062,,True,Methyl propionate
Hexadecane,HMDB0033792,C14499,True,Hexadecane
1-Hexanol,HMDB0012971,C00854,True,1-Hexanol
"Phenol, 4-ethyl-",HMDB0029306,C13637,True,"Phenol, 4-ethyl-"
