Feature,Weight
g__Escherichia,0.237284862
g__Blautia,0.227538708
g__Pediococcus,0.217441795
g__Streptococcus,0.215020416
g__Faecalimonas,0.213677829
g__Veillonella,0.211155487
g__Enterocloster,0.209293644
g__Kluyvera,0.204413903
g__Morganella,0.202415176
g__Proteus,0.199966834
g__Ruminococcus,0.189987266
g__Clostridium,0.189398553
g__Bifidobacterium,0.186312478
g__Alistipes,0.186182712
g__Paraclostridium,0.18402727
g__Citrobacter,0.183576433
g__Limosilactobacillus,0.183224318
g__Faecalibacterium,0.175463701
g__Bacteroides,0.17323386
g__Faecivicinus,0.17288016
g__Phocaeicola,0.169419048
g__Anaeroglobus,0.166447111
g__Lactiplantibacillus,0.164294699
g__Agathobacter,0.164183413
g__Enterobacter,0.161943175
g__SFDB01,0.161154136
g__CAJFUR01,0.159429654
g__Klebsiella,0.158923701
g__Erysipelatoclostridium,0.158920561
g__Woodwardibium,0.158421052
g__Anaerostipes,0.158377517
g__Pullichristensenella,0.158220139
g__Gemmiger,0.156916434
g__Lactobacillus,0.156357853
g__Avichristensenella,0.15280994
g__Niameybacter,0.151238436
g__Allisonella,0.150990335
g__Mesosutterella,0.150274866
g__Alangreenwoodia,0.149442698
g__Cetobacterium,0.147966254
g__Campylobacter,0.14742196
g__Scybalosoma,0.145918838
g__Enterococcus,0.145822602
g__Alectryocaccomicrobium,0.145276354
g__Adlercreutzia,0.143841659
g__Scatacola,0.143210663
g__Evtepia,0.142123038
g__Parvimonas,0.140980099
g__Staphylococcus,0.140704758
g__UMGS1975,0.140437976
g__Fusobacterium,0.139937426
g__UBA1417,0.139313233
g__Leuconostoc,0.137589811
g__Schaedlerella,0.136376344
g__CAG.8,0.136354184
g__Dysosmobacter,0.135269246
g__SFEL01,0.134942839
g__Acinetobacter,0.134890072
g__Anaerobutyricum,0.134218879
g__Dorea,0.133853903
g__ER4,0.132536888
g__UBA738,0.132507174
g__Collinsella,0.129820501
g__CAG.33,0.129414017
g__Haemophilus,0.12869927
g__CAG.51,0.128447809
g__Scatocola,0.128029613
g__Fusicatenibacter,0.12762735
g__Lacticaseibacillus,0.126587639
g__Rothia,0.125800845
g__Clostridioides,0.125637739
g__Ligilactobacillus,0.125611973
g__Scybalomonas,0.124703724
g__Parabacteroides,0.124406656
g__GCA.11,0.123197596
g__51,0.122800254
g__Terrisporobacter,0.122648617
g__Mediterraneibacter,0.121847701
g__Aphodomorpha,0.121243606
g__Eubacterium,0.120171961
g__Clostridium_AQ,0.119244312
g__Spyradocola,0.119086989
g__Spirillospora,0.11865148
g__CAG.48,0.11732505
g__Granulicatella,0.117023759
g__Lawsonibacter,0.116821816
g__UMGS856,0.114609769
g__Egerieenecus,0.114279935
g__Anaerococcus,0.113099393
g__UBA1685,0.112952514
g__NSJ.4,0.111419643
g__Bariatricus,0.111391372
g__Ruthenibacterium,0.111354178
g__MWCK01,0.11115004
g__Aphodovivens,0.111043953
g__UBA3818,0.110424144
g__Senegalimassilia,0.10953486
g__Roseburia,0.109455593
g__Lachnospira,0.107916518
g__Acutalibacter,0.107462077
g__Agathobaculum,0.107370308
g__Flavonifractor,0.106857425
g__Mycobacterium,0.106534442
g__Merdimorpha,0.10575024
g__Gordonibacter,0.10553754
g__Faecousia,0.1043663
g__Phil1,0.103234894
g__Pauljensenia,0.10214675
g__CAG.27,0.102085694
g__Succiniclasticum,0.102043637
g__CAG.38,0.101049938
g__Pelethousia,0.100769159
g__Rubneribacter,0.100660577
g__Megamonas,0.100110886
g__CAG.44,0.100094269
g__Amedibacterium,0.099546451
g__Thauera,0.099255735
g__Gallispira,0.099106762
g__Coprococcus,0.098376986
g__Copromonas,0.098221729
g__Dialister,0.097381091
g__UMGS1264,0.097301285
g__Actinomyces,0.096857187
g__Acetatifactor,0.09667821
g__NSJ.1,0.096637276
g__Streptomyces,0.096487279
g__Peptostreptococcus,0.096251411
g__CAG.34,0.095591803
g__Copromorpha,0.094998231
g__Paratractidigestivibacter,0.094829326
g__UBA11524,0.094588516
g__Prevotella,0.092273706
g__Avimonas,0.091710063
g__Longibaculum,0.091666691
g__CAG.45,0.091634089
g__Lactococcus,0.091490402
g__Peptoniphilus,0.091196086
g__Pygmaiobacter,0.091089625
g__Tidjanibacter,0.090796141
g__An181,0.090692067
g__Scatosoma,0.090419997
g__Clostridium_AP,0.0889874
g__Oliverpabstia,0.088985673
g__Eisenbergiella,0.088743062
g__Borkfalkia,0.088672939
g__UBA3789,0.088008904
g__Odoribacter,0.087779338
g__Avimicrobium,0.087769342
g__Ventricola,0.087622495
g__Onthomonas,0.086506128
g__Hydrogeniiclostridium,0.086309061
g__UMGS872,0.085887345
g__PeH17,0.085865862
g__Acidaminococcus,0.085398353
g__Scybalenecus,0.08440563
g__VUNA01,0.084053728
g__Sellimonas,0.082285141
g__Ventrimonas,0.081608124
g__Lachnoclostridium,0.080346286
g__F23,0.080245339
g__CAG.1,0.080084009
g__CAG.11,0.080020978
g__Thermophilibacter,0.079849816
g__Intestinibacter,0.079094844
g__Faecalitalea,0.079074491
g__CAG.5,0.079011002
g__Azonexus,0.078846293
g__KLE1615,0.077555369
g__UBA11774,0.077362954
g__Choladousia,0.075068467
g__CAG.22,0.075037904
g__Merdibacter,0.074531698
g__UBA9414,0.073805596
g__NSJ.2,0.073268345
g__Limadaptatus,0.073040144
g__Scatomorpha,0.07263494
g__Anaerotruncus,0.072551628
g__Massilimaliae,0.072061251
g__CAG.24,0.071048658
g__UBA4716,0.070668626
g__CAG.21,0.070568937
g__CAG.23,0.068684713
g__Butyricicoccus,0.068392935
g__Egerieisoma,0.06834478
g__Limivivens,0.068224094
g__Phascolarctobacterium,0.067024316
g__Scybalocola,0.066730762
g__Eggerthella,0.066439777
g__Negativibacillus,0.066100863
g__Caccousia,0.065759181
g__14,0.065592932
g__Sutterella,0.065078002
g__Ellagibacter,0.064444483
g__QAMM01,0.064312829
g__Pseudoscilispira,0.064091557
g__Heritagella,0.064033846
g__Intestinimonas,0.063834038
g__Holdemania,0.06379249
g__Choladocola,0.062931194
g__Pseudobutyricicoccus,0.062692827
g__Anaeromassilibacillus,0.06264644
g__Anaerotignum,0.062297237
g__Butyribacter,0.061955363
g__Onthousia,0.061586695
g__Hungatella,0.061043486
g__Monoglobus,0.060970661
g__Butyricimonas,0.060094899
g__Scatavimonas,0.058763213
g__Limiplasma,0.058627854
g__Muricomes,0.058251493
g__Ruminiclostridium,0.056524954
g__Megasphaera,0.056291607
g__Desulfovibrio,0.055428624
g__Muribaculum,0.055374667
g__Faecalibacillus,0.055159467
g__Amedibacillus,0.054478017
g__UMGS1071,0.054225349
g__Coprobacter,0.052455948
g__Pseudoflavonifractor,0.052323026
g__CAG.36,0.052265834
g__Merdisoma,0.051743999
g__Enterenecus,0.05165267
g__Sporofaciens,0.051512975
g__Fimenecus,0.050971303
g__CAG.37,0.050628556
g__V9D3004,0.050515044
g__CAG.35,0.050143152
g__Akkermansia,0.049743154
g__Barnesiella,0.049617297
g__Gallimonas,0.049082846
g__Longicatena,0.048450645
g__Lacrimispora,0.04830421
g__COE1,0.048228721
g__Slackia,0.048117202
g__Ventrisoma,0.047581643
g__Duodenibacillus,0.047484079
g__Onthocola,0.046673368
g__CAG.31,0.046438428
g__HGM13006,0.045300395
g__Limivicinus,0.045009512
g__Coprobacillus,0.044863735
g__Scatomonas,0.044626623
g__CAG.16,0.044555574
g__Alloprevotella,0.044130879
g__Caproicibacterium,0.043767362
g__RUG705,0.043750716
g__Massilistercora,0.042438062
g__Angelakisella,0.041959995
g__CAG.25,0.041820937
g__Fournierella,0.041099674
g__UBA3282,0.040429469
g__Paraprevotella,0.040318237
g__UMGS1375,0.040301762
g__Chitinophaga,0.039873526
g__Romboutsia,0.039824222
g__Bulleidia,0.039703022
g__Coproplasma,0.039293016
g__Egerieimonas,0.039208901
g__An92,0.039203539
g__Bilophila,0.03769122
g__Limisoma,0.036583294
g__Marseille.1,0.036250719
g__Faeciplasma,0.035209955
g__Pelethocola,0.034481439
g__Fimisoma,0.033649466
g__Catenibacterium,0.033633085
g__Tolumonas,0.033543005
g__Oxalobacter,0.033515753
g__UBA737,0.033375403
g__Marvinbryantia,0.032975249
g__UBA3402,0.032833412
g__Metalachnospira,0.032677592
g__BX12,0.032637803
g__Faecimonas,0.032456396
g__RUG115,0.031823169
g__Oribacterium,0.031740286
g__Turicibacter,0.031171399
g__Faecimorpha,0.031021817
g__CAG.10,0.030881842
g__CAG.40,0.030579244
g__UBA5026,0.030234874
g__UBA1394,0.02997533
g__AM51,0.029528971
g__JAGTTR01,0.029001936
g__Butyrivibrio,0.028414505
g__Parasutterella,0.027766571
g__CAG.28,0.02737043
g__Bittarella,0.027042882
g__CAG.32,0.026685419
g__Phil12,0.026377002
g__CAG.13,0.026359659
g__Emergencia,0.024890919
g__UBA6398,0.024669716
g__Pelethomonas,0.024625699
g__Stercorousia,0.024232956
g__UMGS1370,0.023807253
g__Merdicola,0.023020016
g__CAG.3,0.022829826
g__GCA,0.022773986
g__Cryptobacteroides,0.021504275
g__Frisingicoccus,0.021386873
g__Pseudoruminococcus,0.021132417
g__CAG.17,0.020552667
g__1XD42,0.020044064
g__Massilioclostridium,0.019870608
g__CAG.19,0.018086837
g__Massiliomicrobiota,0.017493339
g__UBA7173,0.014886531
g__Merdimonas,0.013834983
g__Lactonifactor,0.0129796
g__Zag111,0.01176377
g__Catenibacillus,0.009940146
g__Fimivicinus,0.008952411
g__Holdemanella,0.007963302
g__CAG.4,0.007920655
g__CAG.18,0.007691975
g__CAG.2,0.004955614
