Acidaminococcus,Acinetobacter,Alistipes,Bacteroides,Bifidobacterium,Blautia,Citrobacter,Clostridioides,Clostridium,Enterocloster,Enterococcus,Escherichia,Eubacterium,Faecalibacterium,Lacticaseibacillus,Lactiplantibacillus,Lactobacillus,Limosilactobacillus,Mycobacterium,Parabacteroides,Ruminococcus,Staphylococcus,Streptococcus,Veillonella,Metabolite,Methods
0,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1,0,CHO-1,Spearman
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,PYR-1,Spearman
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,NIC-1,Spearman
-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,0,1,0,-1,0,0,0,0,CRE-1,Spearman
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,DPA-1,Spearman
-1,0,0,-1,-1,0,0,1,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,0,1,-1,PNT-1,Spearman
0,-1,1,1,1,1,0,0,1,1,-1,1,-1,1,0,-1,-1,1,-1,-1,1,-1,-1,0,CHO-2,O2PLS
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,PYR-2,O2PLS
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NIC-2,O2PLS
-1,0,0,1,1,1,1,-1,1,1,0,1,-1,1,-1,-1,0,1,0,-1,0,0,0,0,CRE-2,O2PLS
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,DPA-2,O2PLS
-1,0,0,1,1,0,0,-1,1,1,-1,0,0,1,-1,-1,0,1,0,-1,1,0,1,1,PNT-2,O2PLS
0,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,1,-1,0,CHO-3,SparseCCA
-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,PYR-3,SparseCCA
-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,NIC-3,SparseCCA
-1,0,0,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,0,-1,0,0,0,0,CRE-3,SparseCCA
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,DPA-3,SparseCCA
-1,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,1,0,-1,-1,0,-1,1,PNT-3,SparseCCA
0,1,-1,1,1,1,0,0,1,-1,1,-1,1,-1,0,1,1,1,-1,-1,1,1,1,0,CHO-4,MIMOSA2
