"Feature","Weight"
"4-hydroxystyrene",0.0559625424238867
"p-hydroxyphenylacetate",0.0778943683160933
"acesulfame",0.0802294604343282
"phenyllactate",0.105481257116213
"sebacate",0.0855570849529868
"undecanedionate",0.0822004238618577
"acetytyrosine",0.0436751775967542
"myristic acid",0.0289879181090783
"dodecanedioic acid",0.0710596146018519
"2-hydroxymyristic acid",0.0665186859282801
"palmitoleic acid",0.037369894754741
"palmitic acid",0.0612916181217192
"tetradecanedioate",0.0057429090415934
"1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid",0.110327844593551
"2-hydroxyhexadecanoate",0.128098123591164
"alpha-linolenic acid",0.0352283172880607
"linoleic acid",0.0973500374010513
"oleic acid",0.109929277862415
"stearic acid",0.0718125684976035
"hexadecanedioic acid",0.0296801205324345
"eicosapentaenoic acid",0.0789655237372608
"arachidonic acid",0.111596809702132
"eicosatrienoic acid",0.103312258987315
"eicosenoate",0.028663599439156
"12.13-diHOME",0.0500698502175768
"9.10-diHOME",0.0345923682698603
"docosahexaenoic acid",0.0935019267997084
"carnosol",0.133562596706171
"docosapentaenoic acid",0.111613378039117
"adrenic acid",0.113479678758103
"palmitoylethanolamide",0.0616107284238069
"13-docosenoate",0.105166612242322
"nervonic acid",0.0976378249708381
"lithocholic acid",0.209398300610204
"hyodeoxycholate/ursodeoxycholate*",0.0715556587838005
"chenodeoxycholate",0.190129155450113
"deoxycholic acid",0.215205799908721
"ketodeoxycholate",0.114636749896861
"alpha-muricholate",0.10583977007919
"cholate",0.21523913355708
"glycolithocholic acid",0.127861472963846
"glycodeoxycholic acid",0.0965753097689104
"glycoursodeoxycholic acid",0.128817445527195
"oleanolic acid",0.111456564858552
"maslinic acid",0.106668914048279
"taurolithocholic acid",0.0768551344970829
"taurochenodesoxycholic acid",0.117411348284187
"taurodeoxycholic acid",0.0589996617550378
"taurohyodeoxycholate/ tauroursodeoxycholate",0.18222400481075
"urobilin",0.24287151405613
"7-hexadecenoic acid methyl ester",0.0112897312008668
"sphingosine",0.110595031101414
"piperine",0.049545777242345
"linoleoyl ethanolamide",0.151225936278783
"stearoyl ethanolamide",0.0562603263199075
"palmitoyl glycerol",0.0282729767760757
"C16:1 MAG*",0.050153315982457
"C18:0e MAG",0.108805803755112
"N-oleoylethanolamine",0.0839684683127828
"C16:1 MAG",0.0246099456871825
"cholesterol",0.109471425679094
"C18:0 MAG",0.0917315692119778
"cholestenone",0.151955874450015
"beta-sitosterol",0.0397628704443101
